NO,최초입사연도,산지,마번,마명,생산국,성별,털색,부마,모마,생산자,경매일,경매가,최초경주마입사일,출전,1위횟수,2위횟수,수득상금,승률,최고군,최초출전일,입사시조,입사시조교사,최초출발검사합격일,출생년도,심사 합격마,육성훈련합격일,육성조련사,경주마가격,포입여부
6062,2021,국산,45036,행복여왕,한국,암,갈색,테스타마타,로카두니래스,김창희,,,2021-10-09,2,0,0,,0,6,2021-12-26,24,서홍수,2021-10-28,2019,1,2021-09-30,김영주,,
6927,2021,국산,44568,에이스월드,한국,암,갈색,테이크차지인디,아임레전드,박승현,2021-10-26,"10,000,000",2021-11-06,2,0,0,,0,6,2021-12-25,48,이준철,2021-11-24,2019,1,2021-09-30,고명주,"10,000,000",
6499,2021,국산,44187,슈팅리버스,한국,암,갈색,투아너앤드서브,허니캠프,양남일,,,2021-11-06,,,,,,,,52,김동균,2022-03-10,2019,1,2021-09-30,윤대근,"21,500,000",
6425,2021,국산,44247,원더풀뮤직,한국,암,갈색,티즈원더풀,매글레브,오용운,,,2021-10-02,,,,,,,,19,곽영효,2021-11-10,2019,1,2021-09-30,전호용,"40,000,000",
6464,2021,국산,44267,챈슬러,한국,수,갈색,티즈원더풀,디렉션,김호균,2021-07-06,"30,000,000",2021-10-09,1,0,0,,0,6,2022-01-29,6,홍대유,2021-11-17,2019,1,2021-09-30,김용선,"30,000,000",
6642,2021,국산,44016,팬텀에이스,한국,수,갈색,티즈웨이,골든래스,농업회사법인(주)송암축산,2021-10-26,"20,000,000",2021-11-07,3,0,0,1600000,0,6,2021-12-24,28,하무선,2021-11-20,2019,1,2021-09-30,김용선,"20,000,000",
6880,2021,국산,44660,금성최고,한국,수,갈색,포리스트캠프,헬로다이너,조창규,,,2021-10-02,,,,,,6,,32,김윤섭,2021-10-21,2019,1,2021-09-30,이재현,,
6575,2021,국산,44541,버닝패션,한국,암,갈색,한센,집시로우즈,임성우,,,2021-10-31,1,0,0,5600000,0,6,2022-03-18,31,라이스,2022-02-19,2019,1,2021-09-30,박승호,"40,000,000",
6151,2021,국산,44014,하이러너,한국,암,갈색,오버애널라이즈,하이와이어액트,김호만,2021-07-06,"20,000,000",2021-09-25,2,0,0,1600000,0,6,2022-01-15,42,이관호,2021-10-28,2019,1,2021-09-18,김경남,"20,000,000",포입말
6373,2021,국산,44431,스카이승,한국,암,갈색,디바인파크,디콜라스팀,김기석,,,2021-09-26,,,,,,,,15,안우성,,2019,1,2021-09-18,한국생협B,"25,000,000",
6797,2021,국산,44633,운주오션,한국,수,갈색,메니피,한바다,임정균,2020-11-24,"70,000,000",2021-11-21,,,,,,6,,21,민장기,2021-12-25,2019,1,2021-09-18,한국생협A,"70,000,000",
6667,2021,국산,44214,판타스틱챔프,한국,수,갈색,메니피,검은요정,김창만,,,2021-09-26,,,,,,,,4,임금만,,2019,1,2021-09-18,김경남,"60,000,000",
